533	отвечать	13	0.0
534	крепкий	13	0.0
535	лететь	13	0.0
536	дух	13	0.0
537	подписать	13	0.0
538	некого	13	0.0
539	съездить	13	0.0
540	положить	13	0.0
541	подносить	13	0.0
542	чаша	13	0.0
543	жаловать	13	0.0
544	матерь	13	0.0
545	остаться	13	0.0
546	горючий	13	0.0
547	буде	13	0.0
548	хвастать	13	0.0
549	ль	13	0.0
550	женский	13	0.0
551	дума	13	0.0
552	молода	13	0.0
553	ручка	13	0.0
554	разум	13	0.0
555	учёный	13	0.0
556	привезти	13	0.0
557	служить	13	0.0
558	вечер	13	0.0
559	будимер	13	0.0
560	посадить	13	0.0
561	прежний	13	0.0
562	сесть	13	0.0
563	ест	13	0.0
564	одноконечный	13	0.0
565	ровно	13	0.0
566	тур	13	0.0
567	хвалиться	13	0.0
568	ставер	13	0.0
569	испроговорить	13	0.0
570	родитель	13	0.0
571	маринка	13	0.0
572	крыльцо	13	0.0
573	ростовский	13	0.0
574	сабелька	13	0.0
575	кобыла	13	0.0
576	оне	12	0.0
577	буславий	12	0.0
578	карабль	12	0.0
579	служилый	12	0.0
580	выскочить	12	0.0
581	оставаться	12	0.0
582	приговаривать	12	0.0
583	принять	12	0.0
584	зайти	12	0.0
585	заклад	12	0.0
586	пуд	12	0.0
587	морской	12	0.0
588	бессчётный	12	0.0
589	слава	12	0.0
590	жеребей	12	0.0
591	сделать	12	0.0
592	иной	12	0.0
593	увидеть	12	0.0
594	немалый	12	0.0
595	подходить	12	0.0
596	рытый	12	0.0
597	больно	12	0.0
598	серебрян	12	0.0
599	ласков	12	0.0
600	подавать	12	0.0
601	шесть	12	0.0
602	побить	12	0.0
603	седелышко	12	0.0
604	чусов	12	0.0
605	далече	12	0.0
606	позволить	12	0.0
607	скорый	12	0.0
608	этая	12	0.0
609	золочёный	12	0.0
610	ведать	12	0.0
611	ранить	12	0.0
612	поездка	12	0.0
613	куст	12	0.0
614	дороженька	12	0.0
615	нынче	12	0.0
616	падать	12	0.0
617	денисьй	12	0.0
618	вина	12	0.0
619	подпруга	12	0.0
620	пиво	12	0.0
621	бой	12	0.0
622	ся	12	0.0
623	дунаюшко	12	0.0
624	кон	12	0.0
625	сокольник	12	0.0
626	костянтин	12	0.0
627	соловий	12	0.0
628	святослав	12	0.0
629	костя	11	0.0
630	нов	11	0.0
631	побежать	11	0.0
632	казачий	11	0.0
633	пустой	11	0.0
634	поп	11	0.0
635	потерять	11	0.0
636	васильюшка	11	0.0
637	волхов	11	0.0
638	середи	11	0.0
639	хватать	11	0.0
640	написать	11	0.0
641	срубить	11	0.0
642	пять	11	0.0
643	колено	11	0.0
644	пятьсот	11	0.0
645	перо	11	0.0
646	связать	11	0.0
647	ставать	11	0.0
648	насыпать	11	0.0
649	спущать	11	0.0
650	чей	11	0.0
651	белокаменна	11	0.0
652	целовать	11	0.0
653	становиться	11	0.0
654	светла	11	0.0
655	образ	11	0.0
656	сударь	11	0.0
657	суд	11	0.0
658	шёлк	11	0.0
659	быв	11	0.0
660	чурить	11	0.0
661	шуба	11	0.0
662	невежа	11	0.0
663	сад	11	0.0
664	слыхать	11	0.0
665	попасть	11	0.0
666	вахрамеев	11	0.0
667	хвала	11	0.0
668	скорешенький	11	0.0
669	эй	11	0.0
670	тело	11	0.0
671	мёртвый	11	0.0
672	семья	11	0.0
673	отсечь	11	0.0
674	городовой	11	0.0
675	сестра	11	0.0
676	иванушка	11	0.0
677	дружка	11	0.0
678	потничек	11	0.0
679	стрелить	11	0.0
680	не́	11	0.0
681	сивый	11	0.0
682	василиса	11	0.0
683	добрынин	11	0.0
684	серый	11	0.0
685	ракитов	11	0.0
686	меньший	11	0.0
687	угроза	11	0.0
688	колпак	11	0.0
689	опраксоя	11	0.0
690	идолище	11	0.0
691	стольнёкиевский	11	0.0
692	жеребчик	11	0.0
693	завидеть	10	0.0
694	худой	10	0.0
695	сажень	10	0.0
696	принимать	10	0.0
697	ворота	10	0.0
698	приворотник	10	0.0
699	напивалисить	10	0.0
700	поскакивать	10	0.0
701	семя	10	0.0
702	пожаловать	10	0.0
703	тыий	10	0.0
704	силой	10	0.0
705	доска	10	0.0
706	ложиться	10	0.0
707	бывать	10	0.0
708	думать	10	0.0
709	сумочка	10	0.0
710	стольник	10	0.0
711	алешенька	10	0.0
712	больша	10	0.0
713	половина	10	0.0
714	плёнк	10	0.0
715	стекольчатый	10	0.0
716	батюшко	10	0.0
717	чейн	10	0.0
718	курить	10	0.0
719	окошко	10	0.0
720	грива	10	0.0
721	надевать	10	0.0
722	вахрамей	10	0.0
723	нунтить	10	0.0
724	королевич	10	0.0
725	киевский	10	0.0
726	хвастат	10	0.0
727	громкий	10	0.0
728	угоной	10	0.0
729	увидать	10	0.0
730	лата	10	0.0
731	дмитрей	10	0.0
732	зверь	10	0.0
733	тугарин	10	0.0
734	писаный	10	0.0
735	денисий	10	0.0
736	правда	10	0.0
737	рост	10	0.0
738	рязань	10	0.0
739	ребятушки	10	0.0
740	муром	10	0.0
741	игнатий	10	0.0
742	полон	10	0.0
743	потятичнуть	10	0.0
744	пещера	10	0.0
745	питьице	10	0.0
746	илеюшка	10	0.0
